OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
SWAA2026063004259,05/18/2026,"2026-06-30T20:40:42.833-05:00",SWAA,SWAA,A,SW,29,A,5347,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,"SEAT TRACK",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORROSION IN WELL ON PASSENGER CABIN SEAT TRACKS AT BS 480+15- BS 500+8, BS 500A+6 - BS 500A+18, BS 500D+8 - BS 500D+19. ON CROWN BS 500A+18 AT LBL 25 WL 208.  SEAT TRACK FOUND TO BE OUT OF LIMITS, & WILL BE REPLACED ON TASK CARD TTG8Q01C933B."
SWAA2026063011117,06/10/2026,"2026-06-30T20:40:42.993-05:00",SWAA,SWAA,A,SW,29,A,5340,O,,,K,,,,IN,V,8600F,BOEING,7378H4,39882,47973,22674,,,,,,,,,,,BOEING,"STRINGER CLIP",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STRINGER CLIP CRACKED AT BS 727D, S6L. THE STRINGER CLIP WAS REMOVED AND REPLACED IAW SRM 51-40-02-0G-0, AND DWG 146A1111, REV-."
SWAA2026063011116,06/10/2026,"2026-06-30T20:40:43.157-05:00",SWAA,SWAA,A,SW,29,A,5340,O,,,K,,,,IN,V,8600F,BOEING,7378H4,39882,47973,22674,,,,,,,,,,,BOEING,"STRINGER CLIP",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STRINGER CLIP CRACKED AT BS 727D, S8L.  THE STRINGER CLIP WAS REMOVED AND REPLACED IAW SRM 51-40-02-0G-0, AND DWG 146A1111, REV-."
SWAA2026063011115,06/10/2026,"2026-06-30T20:40:43.320-05:00",SWAA,SWAA,A,SW,29,A,5340,O,,,K,,,,IN,V,8600F,BOEING,7378H4,39882,47973,22674,,,,,,,,,,,BOEING,"STRINGER CLIP",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"STRINGER CLIP CRACKED AT BS 727F, S6L.  THE STRINGER CLIP WAS REMOVED AND REPLACED IAW SRM 51-40-02-0G-0, AND DWG 146A1121, REV-."
SWAA2026063003567,05/16/2026,"2026-06-30T20:40:43.480-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,,INTERCOSTAL,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,312,328,,,,,,,,,,,,,208,,,,,,"CRACKED INTERCOSTAL AT BS 312 - 328, LBL 45, WL 208.  REMOVED AND REPLACED THE INTERCOSTAL AT BS 312-328 LBL 45 WL 208 IAW SRM 51-40-02, & DWG 141A5400, REV-."
SWAA2026063003563,05/16/2026,"2026-06-30T20:40:43.643-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,INTERCOSTAL,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,312,328,,,,,,,,,31,R,,,208,,,,,,"CRACKED INTERCOSTAL AT BS 312 - 328, RBL 31, WL 208.  REMOVED AND REPLACED THE INTERCOSTAL IAW SRM 51-40-02-0G-0, AND DWG 141A5400, REV-."
SWAA2026063003768,05/17/2026,"2026-06-30T20:40:43.807-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,INTERCOSTAL,,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,392,312,,,,,,,,,11,L,,,208,,,,,,"CORRODED FLOOR SUPPORT AT BS 294 - 312, LBL 11, WL 208.  REMOVED AND REPLACED THE INTERCOSTAL IAW SRM 51-40-02-0G-0, DWG 141A5600, SHEET 1, REV N, AND DWG 141A5600, SHEET 2, REV N."
SWAA2026063003556,05/16/2026,"2026-06-30T20:40:43.967-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,"FLOOR SUPPORT",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,270,277,,,,,,,,,1,L,,,208,,,,,,"CRACKED FLOOR SUPPORT AT BS 270 - 277, LBL 1, WL 208.  REMOVED AND REPLACED THE FLOOR SUPPORT IAW SRM 51-40-02-0G-0, & DWG 141A5210, SHEET 19, REV -."
SWAA2026063007029,05/27/2026,"2026-06-30T20:40:44.130-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,STRAP,,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACK NOTED IN ONE FASTENER HOLE DURING OHEC INSPECTION (TTG8Q01BLWC6; STEP 22) OF RT STUB BEAM STRAP, BS 639, RBL 45, LOWER AFT HOLE, EXTENDING IN AFT DIRECTION. ENGINEERING REQUIRED FOR REPAIR.   REMOVED RT STUB BEAM STRAP DAMAGED AT BS 639, RBL 45, AND REPLACED BY NEW IAW SRM 51-40-02-0G-0, & DWG 144A1715, REV A. REMOVED RT STUB BEAM STRAP BS 639, RBL 45 IAW SRM 51-40-02-0G-0.  LOCATED & DRILLED RT STUB BEAM STRAP BS 639, RBL 45 IAW SRM 51-40-05-0G-0,  DWG 144A1715, REV A,  & DWG 144A1705, REV-.  INSTALLED REPLACEMENT RT STUB BEAM STRAP IAW SRM 51-40-02-0G-0 AND DWG 144A1715, REV A.  REINSTALLED STUB BEAM ASSY IAW SRM 51-40-02-0G-0, DWG 110A0170, REV-, & DWG 144A1715, REV A.  REMOVED STIFFENER BS 639 - 663, RBL 69.5, WL 204 IAW SRM 51-40-02-0G-0.  INSTALLED STIFFENER IAW SRM 51-40-02-0G-0 & DWG 144A7301 REV-. CAP SEAL & FILLET SEAL APPLIED AROUND THE FASTENERS OUTSIDE & INSIDE AREA OF STUB BEAM ASSY."
SWAA2026063006488,05/26/2026,"2026-06-30T20:40:44.290-05:00",SWAA,SWAA,A,SW,29,A,5311,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,FRAME,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,312,,,,,,,,,,35,L,,,283,,,,,,"BS 312 FRAME CRACKED WL 283 LBL 35 ABOVE FWD ENTRY UPPER SILL WEB.   ACCOMPLISHED REPAIR OF FRAME AT BS 312, WL 283, LBL 35, BTW S5L AND S6L IAW EA M-22-153-01244."
SWAA2026063003558,05/16/2026,"2026-06-30T20:40:44.457-05:00",SWAA,SWAA,A,SW,29,A,5310,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,"CREASE BEAM",,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,"727A+16",,,,,,,,,,69,L,,,208,,,,,,"CORROSION ON CREASE BEAM WEB AT BS 727A+16 LBL 69 WL 208.    REMOVED AND TREATED CORROSION OF CREASE BEAM WEB AT BS 727A+16 LBL 69 WL 208 PER SRM 51-10-02-0G-0 AND EA 26-153-01357."
SWAA2026063003566,05/16/2026,"2026-06-30T20:40:44.617-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,INTERCOSTAL,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,380,400,,,,,,,,,13,L,,,208,,,,,,"CRACKED INTERCOSTAL AT BS 380-400, LBL 13, WL 208.  REMOVED AND REPLACED INTERCOSTAL IAW SRM 51-40-02-0G-0, AND DWG 143A5400, REV A."
SWAA2026063003565,05/16/2026,"2026-06-30T20:40:44.777-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,INTERCOSTAL,,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACKED INTERCOSTAL AT BS 380-400,  RBL 40, WL 208.   REMOVED AND REPLACED INTERCOSTAL FROM BS 380-400 RBL 40 WL 208 I.A.W SRM 51-40-02-0G-0 AND BOEING DWG 143A5400 ID:0109 REV. A."
SWAA2026063003555,05/16/2026,"2026-06-30T20:40:44.937-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,STRAP,,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORRODED ON STRAP AT BS 1016-1029, LBL 3, WL 208.  REMOVED AND REPLACED STRAP AT BS 1016-1029, LBL 3, WL 208 IAW SRM 51-40-02-0G-0, AND DWG 147A5600, SHEET 32, REV B."
SWAA2026063003562,05/16/2026,"2026-06-30T20:40:45.100-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,,WEB,,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,1018,,,,,,,,,,1,L,,,208,,,,,,"CORROSION ON WEB AT BS 1018 LBL 1 WL 208.  NO ALLOWABLE ENTRIES FOUND THEREFORE SHEAR WEB DAMAGE TO BE REMOVE IAW SRM 51-10-02-0G-0 AND SENT TO ENGINEERING FOR FURTHER REPAIR INSTRUCTIONS. REMOVED CORROSION ON WEB AT BS 1018 LBL 1 WL 208 1'X1' AREA IAW SRM 51-10-02-0G-0. REMOVED 1EA FASTENER TO FOM BS 1018 LBL 1 WL 208 IAW SRM 51-40-02-0G-0. INSTALLED ONE FASTENER IAW SRM 51-40-02-0G-0 & SRM 147A5600 REV B. ACCOMPLISHED HFEC INSP OF ONE HOLE WITHIN REWORKED AREA IAW NDTM PART 6 CHAPTER 51-00-00 PROCEDURE 16. NO CRACKS NOTED.  APPLIED CHEMICAL CONVERSION COAT & PRIMED AREA IAW SRM 51-20-01 AND SOPM 20-41-02.  REMOVED & TREATED CORROSION ON WEB IAW SRM 51-10-02-0G-0, AND EA 26-153-01349."
SWAA2026063003561,05/16/2026,"2026-06-30T20:40:45.267-05:00",SWAA,SWAA,A,SW,29,A,5320,O,,,K,,,,IN,9,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,STRAP,,,CORRODED,"ZN 100 FUS LOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CORROSION ON STRAP AT BS 1022-1029, RBL 3, WL 208.  REMOVED AND REPLACED STRAP IAW SRM 51-40-02-0G-0 AND DWG 147A5730, SHEET 23, REV C."
SWAA2026063007668,05/29/2026,"2026-06-30T20:40:45.427-05:00",SWAA,SWAA,A,SW,29,A,5310,O,,,K,,,,IN,V,929WN,BOEING,7377H4,36631,58054,35506,,,,,,,,,,,BOEING,"WINDOW FRAME",,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F/O'S NR 1 WINDOW FRAME POST OTBD UPPER CORNER IS CRACKED.   F/O'S NR 1 WINDOW FRAME REPAIRED IAW EA 26-153-01462."
SWIA2026062976355,06/29/2026,"2026-06-30T19:46:06.323-05:00",SWIA,SWIA,A,NM,06,A,2120,B,,,O,,,,CR,O,806SK,CNDAIR,CL6002D24,15070,45591,31589,,,,,,,,,,,,UNKNOWN,,,ODOR,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DISTINCT ELECTRICAL BURNING SMELL INFLIGHT AROUND 5000 FT. STAYED FOR ABOUT 60 SECS BEFORE GOING AWAY. NO OTHER INDICATIONS.  (FLIGHT 4103)  PERFORMED FAULT CONFIRMATION PER FIM 21-21-00 AND FIM 21-22-00 WITH APU AND LT AND RT ENGINES INDIVIDUALLY. INSPECTED COCKPIT, CABIN, AVIONICS BAY AND AFT CARGO FOR ABNORMAL SMELLS OR LOUD LRU'S. NO ABNORMAL SMELLS OR NOISE HEARD. AIRCRAFT OK FOR SERVICE."
VNAA202606300008,05/12/2026,"2026-06-30T19:47:18.253-05:00",VNAA,VNAA,A,GL,05,A,5320,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,SUPPORT,PL6705382478,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,909,,,,,,,,,,,,,,,,,1,,,"CRACK ON ATTACHMENT ANGLE OF DIAPHRAGM AT SUPPORT OF AFT WING TO FUSELAGE FAIRING LT SIDE, FS909.  THE ATTACH ANGLE OF DIAPHRAGM AT SUPPORT OF AFT WING TO FUSELAGE FAIRING LT SIDE, WAS REPAIRED IAW REO 670-53-82-478, REV -A."
VNAA202606300011,05/12/2026,"2026-06-30T19:59:39.580-05:00",VNAA,VNAA,A,GL,05,A,5330,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,"ACCESS PANEL",CC670103344,,CORRODED,"ZONE 600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CORROSION AT SETTLEMENT AREA OF ACCESS PANEL 542BZ ,542AZ AND 642AZ.  CORROSION AT SETTLEMENT AREA OF ACCESS PANEL 542AZ WAS REMOVED PER CRJ-700 SRM 51-21-06-001-001-A01 AND WAS FOUND WITHIN OF LIMITS PER SRM 53-00-00-101-001-A01. ACCESS PANELS 542BZ AND 642AZ WERE VERIFIED AND REPLACED IAW IPC 57-52-32."
VNA2026F00008,05/12/2026,"2026-06-30T20:09:17.720-05:00",VNAA,VNAA,A,SW,39,A,5230,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,STRIKER,SH670341268,,WORN,"ZONE 800",,,,,,,,,,,,,,,533,,22,L,23,L,,,,,,,,,,,,,,,"WEAR ON FORWARD BAGGAGE BAY DOOR SURROUND AT FS=533.00 AND SGTR=23L TO SGTR=22LER, SRM 53-11-43-201-001-A01.  FORWARD BAGGAGE BAY DOOR SURROUND (STRIKER SEAL) AT FS=533.00 AND SGTR=23L TO SGTR=22L WAS BLENDED OUT AND WAS EVALUATED, DAMAGE IS 80% OF ORIGINAL THICKNESS THEREFORE IS OUT OF LIMITS PER SRM 51-12-00-001-001-A01 AND SRM 53-31-23-101-001-A01 AND REPLACED PER SRM 51-41-02-001-001-A01 AND SRM 51-42-06-001-001-A01."
VNAA202606300014,05/14/2026,"2026-06-30T20:09:44.430-05:00",VNAA,VNAA,A,SW,39,A,2710,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,CNDAIR,"HINGE FITTING",CC670180501CC670,,CORRODED,"ZONE 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"CORROSION AROUND OF THE BOLTS AND RUSTED BOLTS ON BONDING JUMPERS 1,2,3,4, LT AILERON HINGE FITTING.  HINGE FITTING NBR 3 ON LH AILERON WAS CLEANED AROUND OF THE BOLTS OF BONDING JUMPER AND AFTER CLEAN DVI WAS PERFORMED AND NOT CORROSION WAS FOUND IAW SRM 51-26-00-001-001-A01 AND SRM 51-11-00-001-001-A01. HINGE FITTING NR 1, 2 AND 4 ON LT AILERON WERE REPAIRED BOLTS AND JUMPERS WERE REPLACED PER REO 670-57-51-712 REV --."
VNAA202606300010,05/12/2026,"2026-06-30T19:55:24.130-05:00",VNAA,VNAA,A,GL,05,A,5330,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,SKIN,SH690313519,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,"CORROSION ON SETTLEMENT AREA OF E/E COMPARTMENT DOOR AT EXTERNAL SURROUND.  SETTLEMENT AREA OF E/E COMPARTMENT DOOR AT EXTERNAL SURROUND WAS REPAIRED PER REO 670-53-21-242 REV. -C"
VNAA202606300015,05/15/2026,"2026-06-30T20:13:03.557-05:00",VNAA,VNAA,A,SW,39,A,5347,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,CNDAIR,"SEAT TRACK",N1262075,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,375,677,,,,,,,,,,,,,,,,,2,,"CORROSION ON LH SEAT RAIL LBL 9, 03 SEGMENTS: (01) BTW FS375 TO FS485. (02) BTW FS485 TO FS581. (03) BTW FS581 TO FS677. AT PAX CABIN.  EVALUATED, LH SEAT RAIL LBL 9, 03 SEGMENTS: (01) BTW FS375 TO FS485. (02) BTW FS485 TO FS581. (03) BTW FS581 TO FS677. AT PAX CABIN WERE OUT OF LIMITS TO EXCESSIVE DAMAGE PER CRJ-700 SRM 53-21-49-101-001-A01 AND CRJ-700 SRM 53-31-49-101-001-A01 AND REPLACED PER AMM 53-00-49."
VNAA202606300012,05/12/2026,"2026-06-30T20:02:11.090-05:00",VNAA,VNAA,A,SW,39,A,5320,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,WEB,CN6244265011,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,1,,,"CRACK ON LH ELECTRICAL BAY WEB FLOOR FS 193.00 (BELOW ACCUMULATOR GAUGE INDICATOR) AT FWD EQUIPMENT COMPARTMENT.  CRACK ON LH ELECTRICAL BAY WEB FLOOR FS 193.00 (BELOW ACCUMULATOR GAUGE INDICATOR) AT FWD EQUIPMENT COMPARTMENT WAS REPAIRED PER CRJ 700  SRM 53-11-43-201-001-A01."
VNAA202606300005,05/10/2026,"2026-06-30T19:32:50.430-05:00",VNAA,VNAA,A,SW,39,A,5720,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,ANGLE,CC670103382,,CRACKED,"ZONE 500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"IN REF TO JOB CARD 600-13E1-JIC DURING INSPECTION: CRACK ON ANGLE OF MID INTERCOSTAL OF SETTLEMENT AREA OF ACCESS PANEL 642AZ AT RH MLG WHEEL WELL.  ANGLE OF MID INTERCOSTAL OF SETTLEMENT AREA OF ACCESS PANEL 642AZ AT RH MLG WHEEL WELL. WAS REPLACED PER CRJ700 SRM 51-42-21-001-001-A01"
VNAA202606300006,05/11/2026,"2026-06-30T19:38:43.230-05:00",VNAA,VNAA,A,SW,39,A,5410,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,LATCH,CN6243084201,,WORN,"ZONE 400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WEAR ON LATCH REIFORCING OF ACCESS DOOR 444BB AT RT ENGINE.  LATCH REIFORCING OF ACCESS DOOR 444BB AT RH ENGINE WAS REPLACED PER CRJ-700 SRM 51-42-06-001-001-A01."
VNAA202606300002,05/10/2026,"2026-06-30T19:20:11.850-05:00",VNAA,VNAA,A,SW,39,A,5330,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,SKIN,CC670331021,,DAMAGED,"ZONE 100",,,,,,,,,,,,,,,201,295,22,L,23,L,,,,,,,,,,,,,,,"FUSELAGE LIGHTNING STRIKE DAMAGE.  DAMAGE AROUND FASTENER CSK BY NEXT HEAVY MAINTENANCE VISIT (HMV), PERFORM PERMANENT REPAIR PER SRM 53-00-00-201-003-A03 SECTION 5.C.(4) - PERMANENT DISPOSITION TO FUSELAGE SKIN AROUND THE FASTENER COUNTERSINK FOR DAMAGE DEPTH MORE THAN 0.005 IN. (0.13 MM) // ENGINEERING COMMENTS: EVALUATE 53-00-00-201-003 FOR A PERMANENT REPAIR. IF OUT OF LIMITS REMOVE THE DAMAGE IAW SRM 51-12 AND PERFORM A CONDUCTIVITY TEST IAW SRM 51-11-20 SUBMIT A NEW RFTS WITH A DETAILED DAMAGE REPORT WITH CONDUCTIVITY TEST RESULTS DISPLAYED IN A GRID ALONG WITH AN MRT GRID.  LIGHTNING STRIKE DAMAGE ON FUSELAGE FASTENERS BTW FS 201 -  295 AND STRINGER 22L-23L WERE REPAIRED IAW SRM 53-00-00-201-003-A01."
VNAA202606300003,05/10/2026,"2026-06-30T19:23:35.350-05:00",VNAA,VNAA,A,SW,39,A,5410,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,SHIELD,CN6243175,,CHAFED,"ZONE 400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RIGHT CORE COWL FIRE SHIELD CHAFE WITHIN 5335.13 FLIGHT HOURS AFTER SECTION I, ACCOMPLISH A PERMANENT REPAIR AT DISCREPANT AREA IAW APPROVED PROCEDURES OR REPLACE PART. ENGINEERING COMMENTS: EVALUATE SRM 54-23-00-201-005-A01 FOR A PERMANENT REPAIR IF OUT OF LIMITS SUBMIT A NEW RFTS WITH ALL DAMAGE DIMENSIONS INCLUDED. RH CORE COWL FIRE SHIELD CHAFE WAS REPAIRED PER REO 670-54-23-1325 REV-."
VNAA202606300009,05/12/2026,"2026-06-30T19:51:45.647-05:00",VNAA,VNAA,A,SW,39,A,5320,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,DIAPHRAGM,CC670392056,,CRACKED,"ZONE 100",,,,,,,,,,,,,,,797,,,,,,,,,,34,R,,,,,,1,,,"CRACK ON RH DIAPHRAGM OF MAIN WHEEL WELL BIN SUPPORT FS 797.00 AND RBL34 AT RH MAIN WHEEL WELL AREA.  CRACK ON RH DIAPHRAGM OF MAIN WHEEL WELL BIN SUPPORT FS 797.00 AND RBL34 AT RH MAIN WHEEL WELL AREA WAS REPLACED PER SRM 51-41-02-001-001-A01."
VNAA202606300007,05/12/2026,"2026-06-30T19:42:57.637-05:00",VNAA,VNAA,A,SW,39,A,5210,O,,,K,,,,IN,V,530EA,CNDAIR,CL6002C10,10308,34311,26835,,,,,,,,,,,,"ATTACH ANGLE",CC670386011,,CRACKED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CRACK ON ATTACHMENT ANGLE INNER SKIN-TO-AFT SIDE PANEL NEAR TO PULLEY SUPPORT AT PASSENGER DOOR EXTERNAL STRUCTURE.  ATTACHMENT ANGLE INNER SKIN-TO-AFT SIDE PANEL NEAR TO PULLEY SUPPORT AT PASSENGER DOOR EXTERNAL STRUCTURE WAS REPAIRED PER CRJ-700 SRM 52-11-04-201-002-"
2026FA0000552,06/21/2026,"2026-07-01T13:34:52.663-05:00",,,W,SW,99,G,6122,J,,,E,A,,,CR,O,,BAG,JETSTM3201,921,,,GARRTT,TPE33112UAR,,,,,,,,,,TUBE,3108071,,CRACKED,"PROP GOVERNOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AIRCRAFT EXPERIENCED A LOW OIL PRESSURE INDICATION AND ILLUMINATION OF THE OIL WARNING LIGHT ON THE RIGHT-HAND (RT) ENGINE DURING THE CRUISE PHASE OF FLIGHT 4761. THE FLT CREW CARRIED OUT THE EMERGENCY SHUTDOWN PROCEDURE IAW MAINT & OPS MANUAL (MOM 3) & RETURNED FOR SAFE LANDING IN SKUI, NO INJURIES & NO FURTHER DAMAGE TO ACFT. POST-FLT INSP IDENTIFIED FAILED COMPONENT AS TUBE ASSY, INSTALLED AT PROP GOVERNOR OIL PRESSURE LINE, RT ENG. COMPONENT IS ORIGINAL, WITH NO PRIOR REPLACEMENT RECORDED IN MAINT HISTORY. FOUND CRACKED AT FLARE FITTING & WAS REPLACED WITH NEW, IAW EMM 77-10-02, REV B (06/06/2014), WITH SATISFACTORY LEAK AND OPS TESTS. REGISTRATION: HK-4854"
CALA2026063017481,06/05/2026,"2026-07-01T13:18:53.120-05:00",CALA,CALA,A,GL,33,A,5210,O,,,K,,,,IN,V,17245,BOEING,737824,28955,81141,30316,,,,,,,,,,,BOEING,STRUCTURE,147A85407,,CORRODED,"ZONE 800",,,,,,,,,,,,,,,,,,,,,,,,,51,L,51,L,,,,,2,,"L-2 DOOR INNER CORD IS CORRODED AT 967-987. REF AAR NR 100033009. REMOVED AND REPLACED L2 DOOR INNERCHORD AS PER SRM 51-40-02-0G-0 AND DRAWING 147A8501 SHEET 68. ESFR ENTRY REQUIRED.WORK ACCOMPLISHED BY V929396. ESFR ENTERED. REMOVED AND REPLACED L2 DOOR INNERCHORD AS PER SRM 51-40-02-0G-0 AND DRAWING 147A8501 SHEET 68. ESFR ENTRY ACCOMPLISHED, NO DIP ENTRY REQUIRED. (WORK ACCOMPLISHED BY V929396) INSP C/W."
CALA2026063017483,06/11/2026,"2026-07-01T13:18:53.290-05:00",CALA,CALA,A,GL,33,A,5313,O,,,K,,,,IN,V,17245,BOEING,737824,28955,81141,30316,,,,,,,,,,,BOEING,STRINGER,141A35317,,CORRODED,"ZONE 100",,,,,,,,,,,,,,,344,360,27,L,,,,,,,,,,,,,,,2,,"FOUND CORROSION  AT  E AND E COMPARTMENT INTERNAL S-27L, BS 344 - 380.  REPAIRED STRINGER 27L FROM STA 344 TO STA 368 IAW AAR-MIA ESR-WI 2024419-12-15287 AND EC/RA 5310-08935.  PERFORM AN INSPECTION OF STRINGER 27L REPAIR BETWEEN BS 344 & 368 IAW PART 2 OF THE LATEST REVISION OF ECRA 5310-08935.  I"
CALA2026063017485,06/26/2026,"2026-07-01T13:18:53.453-05:00",CALA,CALA,A,GL,33,A,5310,O,,,K,,,,IN,V,489UA,AIRBUS,A320232,1702,70397,31326,,,,,,,,,,,AIRBUS,"DOOR SILL",D5348015800700,,CORRODED,"ZONE 200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"R-2 DOOR SILL CORRODED AT FR68.  REMOVED AND REPLACED R-2 DOOR SILL IAW AMM 52-13-31-000-003-A SR M 53-41-14-283-002 AMM 52-13-31-000-007A SRM 51-72-11-911-001 SR M 53-41-14-22-A SRM 51-23-11/001 SRM 51-42-11/001 AMM 52-13-31-0 00-003-A AND AMM 52-13-00-820-001-A."
